year,income
2015,37146.36871830397
2016,37974.83379352675
2020,41288.69409441762
2024,44602.554395308485
2019,40460.22901919484
2030,49573.34484664467
2035,53715.670222758316
2031,50401.80992186745
2033,52058.740072312765
2036,54544.13529798086
